" Copy"," Copiar"
"Action","Ação"
"Add New Template","Adicionar Novo Template"
"Add to Queue","Adicionar à Fila"
"Allow Guest Subscription","Permitir Inscrição de Visitantes"
"An error occurred while saving your subscription.","An error occurred while saving your subscription."
"Are you sure that you want to delete this template?","Tem certeza que deseja remover este Template?"
"Are you sure that you want to strip all tags?","Are you sure that you want to strip all tags?"
"Back","Voltar"
"Cancel","Cancelar"
"Cancelled","Cancelado"
"Cannot mark as received subscriber.","Não é possível marcar como assinante recebido."
"Confirmation Email Sender","Remetente do Email de Confirmação"
"Confirmation Email Template","Template do Email de Confirmação"
"Confirmation request has been sent.","Solicitação de Confirmação foi enviada."
"Convert to Plain Text","Converter para Texto Plano"
"Create Newsletter Template","Criar Template de Newsletter"
"Customer","Cliente"
"Customer First Name","Primeiro Nome do Cliente"
"Customer Last Name","Último Nome do Cliente"
"Customer My Account Newsletter Subscriptions","Customer My Account Newsletter Subscriptions"
"Date Added","Data da Adição"
"Date Updated","Data Atualizada"
"Delete","Remover"
"Delete Selected Problems","Remover Problemas Selecionados"
"Delete Template","Remover Template"
"Do you really want to cancel the queue?","Você realmente deseja cancelar a fila?"
"Duplicate template code.","Duplicate template code."
"Edit Newsletter","Editar Newsletter"
"Edit Newsletter Template","Editar Template da Newsletter"
"Edit Queue","Editar Fila"
"Edit Template","Editar Template"
"Email","Email"
"Enter your email address","Digite seu email"
"Error Code","Error Code"
"Error Text","Error Text"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Visitante"
"ID","ID"
"Invalid queue selected.","Invalid queue selected."
"Invalid subscription ID.","Invalid subscription ID."
"Invalid subscription confirmation code.","Invalid subscription confirmation code."
"Message","Message"
"Need to Confirm","É necessário confirmar"
"New Newsletter Template","Novo Template de Newsletter"
"New Template","Novo Template"
"Newsletter","Newsletter"
"Newsletter Message Preview","Newsletter Message Preview"
"Newsletter Problem Reports","Newsletter Problem Reports"
"Newsletter Queue","Newsletter Queue"
"Newsletter Section","Newsletter Section"
"Newsletter Sign-up:","Newsletter Sign-up:"
"Newsletter Styles","Estilos de Newsletter"
"Newsletter Subscribers","Assinantes de Newsletter"
"Newsletter Subscription","Assinantes de Newsletter"
"Newsletter Subscription Form Before","Formulário de inscrição de Newsletter"
"Newsletter Subscriptions","Assinantes de Newsletter"
"Newsletter Templates","Templates de Newsletter"
"Newsletter subscription confirmation","Confirmação de inscrição de Newsletter"
"Newsletter subscription success","Inscrição de Newsletter bem sucedida"
"Newsletter unsubscription success","Remoção de inscrição de Newsletter bem sucedida"
"No Templates Found","Nenhum Template Encontrado"
"No problems found.","Nenhum problema encontrado."
"No subscribers selected.","Nenhum assinante selecionado."
"Not Activated","Não Ativado"
"Not Sent","Não Enviado"
"Pause","Pausar"
"Paused","Pausado"
"Please enter a valid email address.","Por favor digite um endereço de email válido."
"Please enter new template name","Por favor digite o nome do novo template"
"Please refer to exeption.log","Please refer to exeption.log"
"Please select subscriber(s)","Por favor selecione o(s) assinante(s)"
"Preview","Pré-visualizar"
"Preview Template","Pré-visualizar Template"
"Processed","Processado"
"Queue Date Start","Queue Date Start"
"Queue Finish","Queue Finish"
"Queue Information","Queue Information"
"Queue Newsletter...","Queue Newsletter..."
"Queue Start","Queue Início"
"Queue Subject","Queue Assunto"
"Recipients","Destinatários"
"Reset","Resetar"
"Resume","Continuar"
"Return HTML Version","Retornar Versão HTML"
"Save As","Salvar Como"
"Save Newsletter","Salvar Newsletter"
"Save Template","Salvar Template"
"Save and Resume","Salvar e Continuar"
"Selected problem subscribers have been unsubscribed.","Assinantes problemáticos selecionados foram removidos."
"Selected problems have been deleted.","Problemas selecionados foram removidos."
"Sender","Remetente"
"Sender Email","Email do Destinatário"
"Sender Name","Nome do Remetente"
"Sending","Enviando"
"Sent","Enviado"
"Sign Up for Our Newsletter:","Assine nossa Newsletter:"
"Sign up for our newsletter","Assine nossa Newsletter"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Desculpe, mas o administrator negou inscrição de visitantes. Por favor <a href=""%s"">registre-se primeiro</a>."
"Start","Início"
"Status","Status"
"Store","Loja"
"Store View","Visualização de Loja"
"Subject","Assunto"
"Submit","Enviar"
"Subscribe","Inscrever-se"
"Subscribed","Inscrito"
"Subscriber","Assinante"
"Subscribers","Assinantes"
"Subscribers From","Assinantes de"
"Subscription Options","Opções de Inscrição"
"Success Email Sender","Remetente do Email de Sucesso"
"Success Email Template","Template do Email de Sucesso"
"Template Content","Conteúdo do Template"
"Template Information","Informações do Template"
"Template Name","Nome do Template"
"Template Styles","Estilos do Template"
"Template Subject","Assunto do Template"
"Template Type","Template Type"
"Thank you for your subscription.","Sua inscrição foi realizada com sucesso!"
"The subscription has been removed.","Sua inscrição foi removida."
"The subscription has been saved.","A inscrição foi salva."
"There was a problem with the subscription.","Houve um problema com a inscrição."
"There was a problem with the subscription: %s","Houve um problema com a inscrição: %s"
"There was a problem with the un-subscription.","Houve um problema com a remoção da inscrição."
"This email address is already assigned to another user.","Este email já está cadastrado para outro usuário."
"Type","Tipo"
"Unconfirmed","Não confirmado"
"Unsubscribe","Remover inscrição"
"Unsubscribe Selected","Remoção de inscrição selecionada"
"Unsubscribed","Inscrição Removida"
"Unsubscription Email Sender","Remetente do Email de Remoção de Inscrição"
"Unsubscription Email Template","Template do Email de Remoção de Inscrição"
"View Newsletter","Visualizar Newsletter"
"Website","Website"
"You have been unsubscribed.","Sua inscrição foi removida."
"Your subscription has been confirmed.","Sua inscrição foi confirmada."
